date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:55	36807/36807	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:20:50%20GMT	https://peruoffset.pe/assets/images/pefc.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/pefc.png	(from https://peruoffset.pe/)
10:56:55	42862/42862	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:20:36%20GMT	https://peruoffset.pe/assets/images/fsc.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/fsc.png	(from https://peruoffset.pe/)
10:56:55	59785/59785	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:21:04%20GMT	https://peruoffset.pe/assets/images/smeta.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/smeta.png	(from https://peruoffset.pe/)
10:56:55	28655/28655	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:20:25%20GMT	https://peruoffset.pe/assets/images/certificaciones-peruoffset.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/certificaciones-peruoffset.png	(from https://peruoffset.pe/)
10:56:56	44540/44540	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:59%20GMT	https://peruoffset.pe/assets/images/clientes/viru.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/viru.png	(from https://peruoffset.pe/)
10:56:56	43555/43555	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:44%20GMT	https://peruoffset.pe/assets/images/clientes/danper.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/danper.png	(from https://peruoffset.pe/)
10:56:56	76240/76240	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:42%20GMT	https://peruoffset.pe/assets/images/clientes/camposol.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/camposol.png	(from https://peruoffset.pe/)
10:56:56	41644/41644	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:35%20GMT	https://peruoffset.pe/assets/images/clientes/agrovision.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/agrovision.png	(from https://peruoffset.pe/)
10:56:56	45635/45635	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:47%20GMT	https://peruoffset.pe/assets/images/clientes/gandules.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/gandules.png	(from https://peruoffset.pe/)
10:56:57	50892/50892	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:43%20GMT	https://peruoffset.pe/assets/images/clientes/beta.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/beta.png	(from https://peruoffset.pe/)
